model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
RF,PHL_R0_k=3,0.1,0.0993485342019544,5.328205369408282,0.6883116883116883,0.6832963784183296,0.06962347030639648,0.0905447006225586
XGB,PHL_R0_k=3,0.1,0.0993485342019544,5.328205369408282,0.6753246753246753,0.6713712467137124,0.014356374740600586,0.0905447006225586
KNN,PHL_V0_k=3,0.1,0.0993485342019544,5.134052698818959,0.538961038961039,0.5339388280564752,0.0005214214324951172,0.0905463695526123
RF,PHL_V0_k=3,0.1,0.0993485342019544,5.134052698818959,0.6948051948051948,0.6889061828012043,0.07029938697814941,0.0905463695526123
XGB,PHL_V0_k=3,0.1,0.0993485342019544,5.134052698818959,0.6818181818181818,0.6814148037754596,0.016345500946044922,0.0905463695526123
KNN,PHL_R0_k=3,0.2,0.2003257328990228,5.328205369408282,0.7337662337662337,0.7334406685450329,0.0005605220794677734,0.09055233001708984
RF,PHL_R0_k=3,0.2,0.2003257328990228,5.328205369408282,0.6558441558441559,0.6463945572966049,0.07194185256958008,0.09055233001708984
XGB,PHL_R0_k=3,0.2,0.2003257328990228,5.328205369408282,0.6623376623376623,0.659428746928747,0.016620635986328125,0.09055233001708984
KNN,PHL_V0_k=3,0.2,0.2003257328990228,4.713412442168865,0.5909090909090909,0.5810136765888978,0.0005404949188232422,0.0905616283416748
RF,PHL_V0_k=3,0.2,0.2003257328990228,4.713412442168865,0.7207792207792207,0.7091855928513761,0.07407641410827637,0.0905616283416748
XGB,PHL_V0_k=3,0.2,0.2003257328990228,4.713412442168865,0.7727272727272727,0.7710699606664604,0.021540164947509766,0.0905616283416748
KNN,PHL_R0_k=3,0.3,0.30130293159609123,5.0549640684129855,0.7402597402597403,0.7413118527042578,0.0005679130554199219,0.09057068824768066
RF,PHL_R0_k=3,0.3,0.30130293159609123,5.0549640684129855,0.7207792207792207,0.7221346042417335,0.07634377479553223,0.09057068824768066
XGB,PHL_R0_k=3,0.3,0.30130293159609123,5.0549640684129855,0.6948051948051948,0.6951526651716404,0.021208524703979492,0.09057068824768066
KNN,PHL_V0_k=3,0.3,0.30130293159609123,4.559714210359011,0.6883116883116883,0.6829937304075234,0.0005652904510498047,0.0905618667602539
RF,PHL_V0_k=3,0.3,0.30130293159609123,4.559714210359011,0.7402597402597403,0.7346224041829034,0.0787346363067627,0.0905618667602539
XGB,PHL_V0_k=3,0.3,0.30130293159609123,4.559714210359011,0.7792207792207793,0.7792207792207793,0.02507305145263672,0.0905618667602539
KNN,PHL_R0_k=3,0.5,0.498371335504886,4.901265836603131,0.7467532467532467,0.7487747238035367,0.0006048679351806641,0.09058332443237305
RF,PHL_R0_k=3,0.5,0.498371335504886,4.901265836603131,0.7077922077922078,0.7092106323460001,0.08449268341064453,0.09058332443237305
XGB,PHL_R0_k=3,0.5,0.498371335504886,4.901265836603131,0.6818181818181818,0.6841202377060215,0.027590274810791016,0.09058332443237305
KNN,PHL_V0_k=3,0.5,0.498371335504886,4.559714210359011,0.7012987012987013,0.6996138006185599,0.0006191730499267578,0.0905752182006836
RF,PHL_V0_k=3,0.5,0.498371335504886,4.559714210359011,0.7272727272727273,0.7265555272217262,0.08760905265808105,0.0905752182006836
XGB,PHL_V0_k=3,0.5,0.498371335504886,4.559714210359011,0.7792207792207793,0.7797190656565656,0.03034234046936035,0.0905752182006836
KNN,PHL_R0_k=3,0.75,0.750814332247557,4.559714210359011,0.7597402597402597,0.7587583148558757,0.0006556510925292969,0.09059834480285645
RF,PHL_R0_k=3,0.75,0.750814332247557,4.559714210359011,0.7597402597402597,0.7600224632895272,0.09676408767700195,0.09059834480285645
XGB,PHL_R0_k=3,0.75,0.750814332247557,4.559714210359011,0.7337662337662337,0.7359762539618655,0.032665252685546875,0.09059834480285645
KNN,PHL_V0_k=3,0.75,0.750814332247557,4.559714210359011,0.7272727272727273,0.7265555272217262,0.00067901611328125,0.09059286117553711
RF,PHL_V0_k=3,0.75,0.750814332247557,4.559714210359011,0.7467532467532467,0.7486074619022596,0.09635281562805176,0.09059286117553711
XGB,PHL_V0_k=3,0.75,0.750814332247557,4.559714210359011,0.7337662337662337,0.7358913763062821,0.033251285552978516,0.09059286117553711
KNN,PHL_R0_k=3,0.9,0.8990228013029316,2.1005425014013417,0.6948051948051948,0.690257386592465,0.0007338523864746094,0.09061121940612793
RF,PHL_R0_k=3,0.9,0.8990228013029316,2.1005425014013417,0.7727272727272727,0.7683343914477053,0.10465598106384277,0.09061121940612793
XGB,PHL_R0_k=3,0.9,0.8990228013029316,2.1005425014013417,0.7467532467532467,0.7475757969456813,0.03667616844177246,0.09061121940612793
KNN,PHL_V0_k=3,0.9,0.8990228013029316,2.104615511094063,0.7207792207792207,0.7177376000905414,0.000751495361328125,0.09061479568481445
RF,PHL_V0_k=3,0.9,0.8990228013029316,2.104615511094063,0.7597402597402597,0.7587583148558757,0.11008048057556152,0.09061479568481445
XGB,PHL_V0_k=3,0.9,0.8990228013029316,2.104615511094063,0.7207792207792207,0.7196380415892611,0.03652501106262207,0.09061479568481445
KNN,PHL_R1_k=3,0.05,0.048859934853420196,5.456287229249828,0.7077922077922078,0.7074217585692995,0.0006382465362548828,0.1309051513671875
RF,PHL_R1_k=3,0.05,0.048859934853420196,5.456287229249828,0.7792207792207793,0.7763847214337848,0.09578943252563477,0.1309051513671875
XGB,PHL_R1_k=3,0.05,0.048859934853420196,5.456287229249828,0.7402597402597403,0.7286143708710494,0.013628244400024414,0.1309051513671875
KNN,PHL_R1_k=3,0.1,0.0993485342019544,5.0549640684129855,0.7077922077922078,0.7087413041680939,0.0005497932434082031,0.13086986541748047
RF,PHL_R1_k=3,0.1,0.0993485342019544,5.0549640684129855,0.7467532467532467,0.7475757969456813,0.06991267204284668,0.13086986541748047
