model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,CLC,0.1,0.09999802901292967,3.256441806587512,0.8543243456322926,0.8196003631670078,0.0013241767883300781,416.078027009964
RF,CLC,0.1,0.09999802901292967,3.256441806587512,0.8622280037842952,0.7984779663774134,2.001593828201294,416.078027009964
XGB,CLC,0.1,0.09999802901292967,3.256441806587512,0.861814096499527,0.7990256611510116,0.1127471923828125,416.078027009964
KNN,CLC,0.2,0.19999605802585935,2.331578787283372,0.8536542100283823,0.8173018039961062,0.0020623207092285156,864.4198036193848
RF,CLC,0.2,0.19999605802585935,2.331578787283372,0.8622280037842952,0.7986678623713143,3.6244566440582275,864.4198036193848
XGB,CLC,0.2,0.19999605802585935,2.331578787283372,0.8622082939135919,0.8000828132512088,0.1351151466369629,864.4198036193848
KNN,CLC,0.3,0.2999990145064648,2.020734655550292,0.8552901292967519,0.8174483557298545,0.0028040409088134766,1188.197244644165
RF,CLC,0.3,0.2999990145064648,2.020734655550292,0.8628784295175024,0.8014229716313532,5.154503583908081,1188.197244644165
XGB,CLC,0.3,0.2999990145064648,2.020734655550292,0.8623068432671082,0.8030686536700374,0.1666851043701172,1188.197244644165
KNN,CLC,0.5,0.5,1.5831056881879422,0.8535162409334595,0.8199487170825579,0.004332780838012695,1912.456925868988
RF,CLC,0.5,0.5,1.5831056881879422,0.864514348785872,0.8119019606862408,8.43081784248352,1912.456925868988
XGB,CLC,0.5,0.5,1.5831056881879422,0.863883632923368,0.8137260953410584,0.23515772819519043,1912.456925868988
KNN,CLC,0.75,0.7499950725323242,0.9649886142178261,0.8467360454115421,0.822218613744387,0.0059337615966796875,2722.819700241089
RF,CLC,0.75,0.7499950725323242,0.9649886142178261,0.8648297067171239,0.8245630503896797,13.074823141098022,2722.819700241089
XGB,CLC,0.75,0.7499950725323242,0.9649886142178261,0.8646917376222012,0.8268248413319303,0.35283637046813965,2722.819700241089
KNN,CLC,0.9,0.8999970435193945,0.6060582219542099,0.8422224850204982,0.8237126373244044,0.007112741470336914,3068.738219022751
RF,CLC,0.9,0.8999970435193945,0.6060582219542099,0.8634303058971933,0.8297265727833046,15.33681607246399,3068.738219022751
XGB,CLC,0.9,0.8999970435193945,0.6060582219542099,0.8656969410280668,0.8320637253800733,0.39202022552490234,3068.738219022751
