model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
XGB,SRS,0.3,0.2999840857248952,5.171739943598675,0.7385105028644177,0.7382944190188482,0.0757054328918457,0.01674203872680664
XGB,SRS,0.5,0.49999115873605293,4.811149894907424,0.7431218615177876,0.742869250777715,0.0929677963256836,0.01754474639892578
XGB,SRS,0.75,0.7499867381040793,4.041926207511073,0.7469976660301294,0.7467194237718726,0.11457128524780273,0.018707418441772462
XGB,SRS,0.9,0.8999699397025799,3.3429451562591885,0.7474078789164722,0.747132588394759,0.13016276359558104,0.01927151679992676
KNN,CLC,0.05,0.04998850635686878,3.741693118081435,0.7025249310417992,0.7023096377725819,0.0005166530609130859,7.602362871170044
RF,CLC,0.05,0.04998850635686878,3.741693118081435,0.6648277813140958,0.6504654856848716,0.44053196907043457,7.602362871170044
XGB,CLC,0.05,0.04998850635686878,3.741693118081435,0.6523092156446708,0.63755112719205,0.0812368392944336,7.602362871170044
KNN,CLC,0.1,0.09999469524163174,2.459833525860234,0.697927717660372,0.697679356933277,0.0006175041198730469,14.519613981246948
RF,CLC,0.1,0.09999469524163174,2.459833525860234,0.670485890091237,0.6548418125464296,0.7297310829162598,14.519613981246948
XGB,CLC,0.1,0.09999469524163174,2.459833525860234,0.613763349600396,0.579376591709894,0.0812840461730957,14.519613981246948
KNN,CLC,0.2,0.19998939048326347,2.3578654846494613,0.6903599971709456,0.6899592753957273,0.0008645057678222656,25.50849413871765
RF,CLC,0.2,0.19998939048326347,2.3578654846494613,0.663554706839239,0.6467464503256387,1.2315123081207275,25.50849413871765
XGB,CLC,0.2,0.19998939048326347,2.3578654846494613,0.5946672324775444,0.5457686217603075,0.08353638648986816,25.50849413871765
KNN,CLC,0.3,0.2999840857248952,2.0023087657908283,0.6876016691420893,0.686831020854337,0.0011420249938964844,37.963219165802
RF,CLC,0.3,0.2999840857248952,2.0023087657908283,0.6668788457458095,0.6497220385841815,1.6549065113067627,37.963219165802
XGB,CLC,0.3,0.2999840857248952,2.0023087657908283,0.5981328241035434,0.5487324733619862,0.09497284889221191,37.963219165802
KNN,CLC,0.5,0.49999115873605293,1.5619528904140572,0.6837117193578046,0.6820815073299776,0.0016741752624511719,58.12171530723572
RF,CLC,0.5,0.49999115873605293,1.5619528904140572,0.6844189829549473,0.6740404941005855,2.317850351333618,58.12171530723572
XGB,CLC,0.5,0.49999115873605293,1.5619528904140572,0.6487728976589575,0.6278662280825081,0.10374069213867188,58.12171530723572
KNN,CLC,0.75,0.7499867381040793,0.9511593720730378,0.6844189829549473,0.6833053725177018,0.002107858657836914,81.36886620521545
RF,CLC,0.75,0.7499867381040793,0.9511593720730378,0.7129924322795106,0.7107222816049324,3.2789978981018066,81.36886620521545
XGB,CLC,0.75,0.7499867381040793,0.9511593720730378,0.7103755569700827,0.7066678252710589,0.13007807731628418,81.36886620521545
KNN,CLC,0.9,0.8999699397025799,0.5395231732347063,0.6926232406818021,0.692514319568721,0.002256631851196289,100.02877140045166
RF,CLC,0.9,0.8999699397025799,0.5395231732347063,0.7339274347549332,0.7338618056578343,3.802318811416626,100.02877140045166
XGB,CLC,0.9,0.8999699397025799,0.5395231732347063,0.7380295636183606,0.7378650446113507,0.14159274101257324,100.02877140045166
KNN,PHL_R0_k=3,0.05,0.050006188884762964,7.273571668793818,0.6801046750123771,0.6687480612378569,0.0005826950073242188,92.36185598373413
RF,PHL_R0_k=3,0.05,0.050006188884762964,7.273571668793818,0.6949572105523729,0.6767953908462236,0.17711353302001953,92.36185598373413
XGB,PHL_R0_k=3,0.05,0.050006188884762964,7.273571668793818,0.6922696088832307,0.6803897521410026,0.04019784927368164,92.36185598373413
KNN,PHL_V0_k=3,0.05,0.050006188884762964,6.4470982564676005,0.6292524223778202,0.6287261524933105,0.0005595684051513672,92.36170983314514
